date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:31:38	59978/59978	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2008:52:46%20GMT	http://tavonline.net/html/giggs/giggs/home-profile.html	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/home-profile.html	(from )
23:31:38	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Mar%202020%2013:01:35%20GMT	http://tavonline.net/robots.txt		(from )
23:31:39	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Sat,%2022%20Sep%202018%2008:52:32%20GMT	http://tavonline.net/html/giggs/giggs/favicon.ico	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/favicon.ico	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:40	118515/118515	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:53:09%20GMT	http://tavonline.net/html/giggs/giggs/css/bootstrap.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/bootstrap.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:40	1489/1489	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:53:08%20GMT	http://tavonline.net/html/giggs/giggs/css/reset.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/reset.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:41	1120/1120	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:53:09%20GMT	http://tavonline.net/html/giggs/giggs/css/owl.theme.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/owl.theme.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:41	1064/1064	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:53:10%20GMT	http://tavonline.net/html/giggs/giggs/css/owl.carousel.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/owl.carousel.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:42	5895/5895	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:53:07%20GMT	http://tavonline.net/html/giggs/giggs/css/magnific-popup.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/magnific-popup.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:42	2791/2791	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:53:08%20GMT	http://tavonline.net/html/giggs/giggs/css/perfect-scrollbar.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/perfect-scrollbar.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:43	39495/39495	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:53:10%20GMT	http://tavonline.net/html/giggs/giggs/css/style.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/style.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:43	4262/4262	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:53:07%20GMT	http://tavonline.net/html/giggs/giggs/css/style-dark.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/style-dark.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:44	1994/1994	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:12%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/switcher.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/switcher.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:44	1238/1238	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:11%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/color-1.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/color-1.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:45	1238/1238	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:11%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/color-2.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/color-2.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:45	1238/1238	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:11%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/color-3.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/color-3.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:46	1240/1240	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:12%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/color-4.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/color-4.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:46	1238/1238	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:12%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/color-5.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/color-5.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:47	1238/1238	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:11%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/color-6.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/color-6.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:47	1239/1239	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:11%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/color-7.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/color-7.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:48	1238/1238	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:12%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/color-8.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/color-8.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:48	1232/1232	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:12%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/color-9.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/color-9.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:49	1232/1232	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:13%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/color-10.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/color-10.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:49	1234/1234	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:13%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/color-11.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/color-11.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:50	1234/1234	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:13%20GMT	http://tavonline.net/html/giggs/giggs/css/colors/color-12.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/css/colors/color-12.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:50	27466/27466	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:37%20GMT	http://tavonline.net/html/giggs/giggs/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:51	7599/7599	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2008:54:22%20GMT	http://tavonline.net/html/giggs/giggs/icon-fonts/essential-regular-fonts/essential-icons.css	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/icon-fonts/essential-regular-fonts/essential-icons.css	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:53	14669/14669	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2008:52:47%20GMT	http://tavonline.net/html/giggs/giggs/work-single.html	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/work-single.html	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:31:54	55314/55314	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:53:56%20GMT	http://tavonline.net/html/giggs/giggs/images/profile-2.jpg	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/images/profile-2.jpg	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:32:00	36024/36024	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:53:54%20GMT	http://tavonline.net/html/giggs/giggs/images/work-2.jpg	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/images/work-2.jpg	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:32:01	23006/23006	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2008:52:47%20GMT	http://tavonline.net/html/giggs/giggs/works.html	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/works.html	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:32:05	76248/76248	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:53:54%20GMT	http://tavonline.net/html/giggs/giggs/images/work-3.jpg	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/images/work-3.jpg	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:32:14	96962/96962	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:53:57%20GMT	http://tavonline.net/html/giggs/giggs/images/work-4.jpg	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/images/work-4.jpg	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:32:14	149322/149322	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2008:53:56%20GMT	http://tavonline.net/html/giggs/giggs/images/work-1.jpg	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/images/work-1.jpg	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:32:16	25973/25973	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2008:52:28%20GMT	http://tavonline.net/html/giggs/giggs/gallery-post.html	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/gallery-post.html	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:32:18	25082/25082	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2008:52:48%20GMT	http://tavonline.net/html/giggs/giggs/video-post.html	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/video-post.html	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
23:32:19	25005/25005	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2008:52:46%20GMT	http://tavonline.net/html/giggs/giggs/blog-post.html	C:/Users/saari/Documents/Semester%205/zzzPrivate/SaarimShahidGib/tavonline.net/html/giggs/giggs/blog-post.html	(from http://tavonline.net/html/giggs/giggs/home-profile.html)
